"join_ip_country","customer_id","price_first_item_purchased","join_pages_visited","prediction(revenue)","Age group","Gender","Campaign"
"United States","49587b0b4aa",28.0,8.0,217.27615262395923,"adult","Female","false"
"United States","4014c77720a",78.0,8.0,342.9252586125694,"middle age","Female","false"
"Canada","4eb94a3d63a",78.0,1.0,200.26494120219385,"young adult","Male","false"
"Germany","5dea7260b9a",44.0,12.0,240.36294395448235,"middle age","Male","false"
"France","462880c1aaa",57.0,7.0,199.24790521964357,"adult","Female","false"
"Netherlands","ed05462d1da",44.0,4.0,239.3665589963341,"senior citizen","Female","false"
"Singapore","592a79b74ea",10.0,5.0,252.32372328246595,"senior citizen","Female","false"
"United States","f54fa34f6da",117.0,5.0,276.04471316183265,"middle age","Male","true"
"United States","b7b86d69e8a",44.0,6.0,184.5893577901805,"senior citizen","Female","false"
"United States","6b1e66c68ea",15.5,7.0,216.16874559981702,"adult","Male","false"
"China","b1d0027f46a",117.0,9.0,222.8871055502532,"adult","Male","false"
"United States","e8aab17461a",44.0,5.0,237.20045976914352,"middle age","Female","false"
"United States","e07984f6b8a",102.0,6.0,260.59946712758335,"senior citizen","Female","false"
"United States","0448db30f2a",15.5,7.0,208.72185317462433,"middle age","Female","false"
"United States","1d2c22a2dfa",44.0,6.0,184.6563370038027,"adult","Female","true"
"France","5a36bc2f97a",57.0,2.0,208.52752122714577,"senior citizen","Male","false"
"United States","591003f7cea",102.0,3.0,207.3736439720708,"teenager","Male","true"
"Germany","9b090bd9aea",102.0,5.0,237.00591886394741,"senior citizen","Male","true"
"United States","b57c2c5903a",57.0,9.0,208.72258376529402,"adult","Male","true"
"United States","5bc450c631a",42.0,5.0,220.00869835989437,"middle age","Male","false"
"United States","4e91ab1da7a",44.0,6.0,257.6482643410659,"middle age","Female","false"
"United States","c3ca64c7d7a",102.0,4.0,274.8531198742735,"adult","Male","true"
"United States","668ac2c12aa",44.0,5.0,183.38664519836615,"middle age","Male","true"
"United States","f14d6edec0a",15.5,9.0,199.5425748306952,"adult","Female","false"
"United States","4f21761dd9a",44.0,3.0,187.52483393693237,"adult","Female","true"
"Netherlands","4cbcb4efada",102.0,3.0,240.93376590665162,"senior citizen","Female","false"
"Belgium","79cf83d15da",44.0,7.0,203.57100545833543,"middle age","Male","false"
"Netherlands","a1d049a2dca",22.0,11.0,216.69672663592334,"middle age","Male","false"
"United States","1224fb5ff6a",42.0,6.0,256.02370952547557,"adult","Female","false"
"Finland","4b90b6d81da",117.0,8.0,308.4777279151785,"middle age","Male","false"
"Italy","34f21eb464a",42.0,4.0,205.9834625883934,"senior citizen","Female","false"
"Canada","2a816f08f8a",44.0,3.0,214.62574083649008,"adult","Male","false"
"United States","31da0a7054a",102.0,13.0,285.3565230551306,"adult","Male","true"
"United States","231d1ca3d2a",57.0,5.0,291.1072862415746,"senior citizen","Female","false"
"Panama","e33bf31109a",117.0,6.0,202.75813917786212,"middle age","Female","true"
"United States","beccd11f3fa",22.0,6.0,207.66803847495348,"adult","Male","false"
"Switzerland","082be513efa",78.0,12.0,247.5540345352764,"adult","Female","false"
"United Kingdom","d85ab858caa",117.0,11.0,253.39609140162534,"middle age","Male","true"
"Japan","e051a0dbcfa",15.5,7.0,183.85761243463807,"middle age","Female","false"
"Germany","5611ddaf7ba",117.0,2.0,244.91477647166715,"senior citizen","Female","true"
"United States","3874a4aca5a",78.0,9.0,397.7331942900085,"senior citizen","Male","false"
"United States","f4715e6e9aa",44.0,3.0,234.9153687367166,"adult","Female","false"
"Germany","89beef0a85a",28.0,5.0,194.09819038297576,"adult","Female","false"
"United States","f0dd9759c8a",78.0,8.0,232.36426869587729,"adult","Female","true"
"Canada","adff1f230ca",15.5,5.0,188.09922339785192,"adult","Female","false"
"United States","704b620e6aa",42.0,5.0,189.05530151274144,"adult","Male","true"
"United States","beeb6a7935a",44.0,6.0,185.39770515579318,"adult","Female","true"
"United States","e24891c048a",78.0,3.0,205.2359244799842,"young adult","Female","false"
"United States","fdc0964cfba",57.0,6.0,208.9480646652384,"adult","Female","true"
"United Kingdom","99d0a8e05da",102.0,3.0,243.7231387195427,"adult","Male","true"
"United States","8b23e83b88a",22.0,7.0,241.6702891887055,"senior citizen","Female","false"
"Switzerland","1aca8d794ba",117.0,9.0,278.9181162312963,"senior citizen","Male","false"
"United States","82c677afd4a",102.0,7.0,221.60461558811522,"young adult","Female","true"
"Canada","633f528d37a",102.0,5.0,241.03233359870174,"senior citizen","Female","true"
"Canada","633f528d37a",102.0,5.0,241.03233359870174,"senior citizen","Female","true"
"United States","78e60412f0a",57.0,7.0,300.0026798987928,"senior citizen","Female","false"
"United States","019b5ac773a",117.0,7.0,251.96599974191398,"senior citizen","Female","true"
"Japan","40865ff453a",102.0,5.0,240.35227544975533,"young adult","Male","true"
"United States","5c1a5f45e4a",44.0,5.0,185.0861040851311,"senior citizen","Female","false"
"Germany","9a12e3b30da",117.0,3.0,338.97420015887303,"senior citizen","Female","false"
"United Kingdom","82812c5a9aa",42.0,7.0,211.64420043455897,"adult","Female","false"
"Republic of Korea","4751cd970ca",42.0,5.0,210.6855799839047,"adult","Female","false"
"Ireland","81b2d4ec9ea",22.0,5.0,194.06903050637598,"adult","Female","false"
"United States","1b56997f46a",22.0,4.0,215.40751687275744,"adult","Female","false"
"Japan","ca99494012a",22.0,8.0,183.95833277725978,"adult","Female","false"
"United States","a60e3cdabea",28.0,3.0,224.64211227012,"middle age","Female","false"
"United States","decacc28cea",28.0,5.0,211.02605996257682,"adult","Female","false"
"Ireland","cd450f7f99a",102.0,7.0,278.0614373269951,"adult","Female","false"
"Spain","ac8a08fd2ca",102.0,5.0,232.71638553898097,"senior citizen","Male","false"
"United States","8e462f811ea",15.5,8.0,229.06971445796773,"senior citizen","Female","false"
"United States","14910fc0b2a",44.0,7.0,215.10778535060007,"adult","Female","false"
"United States","ad71df10d0a",22.0,7.0,185.84219123079933,"adult","Female","false"
"United States","69c60a8145a",44.0,12.0,254.19055063378073,"adult","Female","false"
"Japan","2bb4d4d68fa",57.0,3.0,239.96319216410743,"senior citizen","Female","false"
