"join_ip_country","customer_id","price_first_item_purchased","join_pages_visited","prediction(revenue)","Age group","Gender","Campaign"
"Ghana","88789ebaf5a",10.0,7.0,82.45558718839743,"adult","Female","false"
"United States","5cdbeab2fba",42.0,5.0,175.3734952625466,"senior citizen","Female","true"
"Japan","069e998177a",42.0,6.0,177.20663139408055,"young adult","Female","false"
"India","8bb69a2e66a",102.0,6.0,149.28831696377216,"senior citizen","Female","true"
"Japan","6b4b3bdd4ca",15.5,8.0,167.17097290597886,"adult","Female","false"
"China","0e6bb0d4d8a",57.0,13.0,137.0075893463618,"adult","Female","false"
"China","0e6bb0d4d8a",15.5,13.0,91.91389590947716,"adult","Male","false"
"China","7e75fa54a8a",57.0,9.0,157.68689451657647,"senior citizen","Female","false"
"China","84fdfdf0a2a",15.5,8.0,99.17231291157788,"adult","Male","false"
"Iceland","0d5f8114b9a",15.5,7.0,160.23679135089426,"adult","Female","false"
"Mexico","9c8205bd16a",10.0,6.0,126.52041061926582,"middle age","Male","false"
"China","17aab5ba34a",15.5,5.0,92.317131500425,"adult","Male","false"
"Republic of Korea","406d618a9ba",10.0,6.0,167.22366060271474,"young adult","Male","false"
"Egypt","9981c52f71a",44.0,6.0,109.3165740514805,"middle age","Female","false"
"France","0a0fface2aa",15.5,5.0,167.40270605083924,"adult","Male","false"
"United States","9b627bd327a",22.0,4.0,174.80906837011284,"middle age","Female","false"
"Germany","f7107202ada",42.0,5.0,161.6058196450565,"young adult","Female","true"
"Netherlands","8f56c5963ba",15.5,8.0,168.6030391181572,"adult","Male","false"
"China","3b59cc43b4a",22.0,8.0,104.064752492233,"adult","Female","false"
"South Africa","89a7cbe3a9a",44.0,6.0,108.56887715916585,"senior citizen","Female","false"
"India","b645933828a",44.0,5.0,109.59563499888756,"middle age","Male","false"
"India","732d3f4b9aa",57.0,3.0,126.07867294766876,"middle age","Female","false"
"Italy","f8a9823ccaa",10.0,6.0,120.93946154963359,"senior citizen","Female","false"
"China","54619caba2a",15.5,4.0,84.24607920925396,"adult","Female","false"
"United States","03c5a47ea4a",22.0,2.0,131.870674697039,"middle age","Male","false"
"United States","539259fda3a",28.0,3.0,170.40496309610594,"adult","Male","true"
"United States","cad69193d4a",22.0,9.0,176.66978316780273,"adult","Female","false"
"United States","32fd772e68a",15.5,4.0,149.5163653864435,"teenager","Female","false"
"United States","113bb3400aa",10.0,9.0,166.67581426098116,"adult","Female","false"
"India","7d3966eda5a",44.0,7.0,89.85523964127759,"senior citizen","Female","false"
"South Africa","683bd6e6b5a",57.0,8.0,119.67089394658075,"middle age","Female","true"
"Vietnam","4d71446ef2a",15.5,7.0,94.18618067815129,"senior citizen","Female","false"
"United Kingdom","2ff6fd007ea",10.0,4.0,174.8245163979125,"middle age","Male","false"
"China","fd70e85209a",42.0,11.0,124.44153374727031,"adult","Female","false"
"United States","1d9b6fc641a",22.0,5.0,160.73944795396176,"middle age","Female","true"
"United States","8acb9822aca",22.0,1.0,163.83767293234735,"adult","Female","true"
"Switzerland","964d3e2e3aa",15.5,11.0,169.0171408600779,"adult","Female","false"
"Argentina","8cc49c52cfa",28.0,11.0,104.21439586796404,"adult","Female","true"
"Taiwan","f5c75bd57ba",22.0,4.0,169.98365552402515,"adult","Female","false"
"Netherlands","a052249230a",15.5,6.0,174.13567696913526,"adult","Male","false"
"China","611518fca6a",78.0,4.0,166.10892581690834,"adult","Female","false"
"Japan","f87687e35ba",22.0,10.0,161.28799527103456,"adult","Female","false"
"United States","3f273d3b3da",10.0,5.0,125.2728803328994,"young adult","Male","true"
"Bulgaria","48ec6bc9d1a",102.0,9.0,174.4016289045593,"young adult","Female","true"
"Barbados","605847bc08a",44.0,9.0,182.07741259188856,"adult","Female","false"
"Indonesia","1d0f05438aa",28.0,2.0,74.61372781967643,"adult","Female","false"
"United States","e1e9931ebea",10.0,1.0,142.0096545503804,"middle age","Male","false"
"United States","6ddacc4023a",22.0,9.0,163.77760462739198,"adult","Female","true"
"China","143c253203a",28.0,7.0,103.56146287544897,"adult","Female","false"
"United Kingdom","a121f3506ea",44.0,6.0,160.18942178028794,"middle age","Male","true"
"South Africa","102fe28386a",15.5,7.0,99.27590834538617,"adult","Female","false"
"United States","4e1045f6b8a",15.5,6.0,155.1071960745555,"senior citizen","Female","false"
"Iraq","252ad98303a",22.0,5.0,74.24853118860537,"middle age","Female","true"
"Italy","3dfc1f1f76a",44.0,3.0,150.78878241757405,"senior citizen","Male","false"
"Iran","e6669abdaca",44.0,6.0,161.3581035786163,"senior citizen","Male","false"
"India","d0b47e09f4a",10.0,6.0,72.86181730032126,"young adult","Male","false"
"United States","c77491319ca",22.0,6.0,154.99250659323863,"middle age","Male","true"
"Japan","f0b2cca00aa",15.5,9.0,154.22791248517643,"adult","Female","false"
"Japan","3d5bc8d155a",22.0,13.0,179.7227940826141,"adult","Female","false"
"France","5E+10a",15.5,5.0,134.4259165533635,"adult","Male","true"
